20
0.232 -3.067 1.852 5.531 20.908 
0.169 -3.263 1.969 6.235 22.509 
0.102 -3.479 2.102 7.088 24.264 
0.030 -3.722 2.254 8.127 26.200 
-0.047 -3.999 2.429 9.390 28.347 
-0.131 -4.323 2.631 10.910 30.742 
-0.221 -4.712 2.867 12.689 33.428 
-0.320 -5.189 3.140 14.655 36.441 
-0.429 -5.783 3.453 16.616 39.809 
-0.552 -6.508 3.803 18.273 43.532 
-0.690 -7.351 4.180 19.346 47.580 
-0.846 -8.263 4.571 19.670 51.900 
-1.021 -9.182 4.961 19.160 56.425 
-1.213 -10.046 5.332 17.751 61.083 
-1.422 -10.814 5.665 15.469 65.789 
-1.645 -11.473 5.946 12.536 70.460 
-1.880 -12.036 6.165 9.293 75.025 
-2.126 -12.519 6.318 6.020 79.430 
-2.381 -12.929 6.406 2.852 83.635 
-2.643 -13.264 6.433 -0.193 87.608 
-2.911 -13.520 6.399 -3.144 91.318 
-3.183 -13.691 6.307 -6.024 94.734 
-3.458 -13.778 6.159 -8.809 97.827 
-3.733 -13.791 5.956 -11.400 100.573 
-4.009 -13.751 5.705 -13.643 102.959 
-4.283 -13.682 5.414 -15.390 104.989 
-4.556 -13.600 5.093 -16.578 106.677 
-4.827 -13.498 4.754 -17.243 108.051 
-5.096 -13.356 4.407 -17.451 109.144 
-5.361 -13.146 4.059 -17.239 110.001 
-5.621 -12.844 3.720 -16.611 110.676 
-5.874 -12.451 3.397 -15.591 111.232 
-6.119 -11.992 3.098 -14.277 111.732 
-6.354 -11.506 2.827 -12.827 112.228 
-6.579 -11.030 2.585 -11.392 112.750 
-6.795 -10.584 2.371 -10.072 113.313 
-7.003 -10.177 2.181 -8.918 113.920 
-7.202 -9.810 2.013 -7.942 114.569 
-7.395 -9.477 1.862 -7.140 115.254 
-7.582 -9.176 1.726 -6.501 115.968 
-7.762 -8.899 1.601 -6.014 116.703 
-7.938 -8.643 1.485 -5.667 117.449 
-8.108 -8.403 1.374 -5.451 118.197 
-8.274 -8.174 1.266 -5.356 118.937 
-8.435 -7.952 1.159 -5.375 119.658 
-8.592 -7.733 1.050 -5.503 120.349 
-8.745 -7.514 0.938 -5.733 120.996 
-8.893 -7.291 0.820 -6.056 121.587 
-9.036 -7.059 0.695 -6.465 122.108 
-9.175 -6.818 0.561 -6.945 122.547 
-9.309 -6.563 0.417 -7.480 122.891 
-9.437 -6.295 0.262 -8.047 123.127 
-9.560 -6.013 0.095 -8.620 123.244 
-9.678 -5.721 -0.083 -9.167 123.235 
-9.789 -5.422 -0.272 -9.665 123.094 
-9.895 -5.119 -0.469 -10.097 122.814 
-9.994 -4.816 -0.675 -10.461 122.395 
-10.087 -4.514 -0.887 -10.771 121.831 
-10.175 -4.212 -1.106 -11.053 121.121 
-10.256 -3.908 -1.329 -11.341 120.258 
-10.331 -3.597 -1.560 -11.675 119.235 
-10.399 -3.270 -1.797 -12.094 118.040 
-10.461 -2.920 -2.044 -12.635 116.660 
-10.516 -2.532 -2.303 -13.330 115.077 
-10.562 -2.090 -2.578 -14.189 113.273 
-10.599 -1.576 -2.872 -15.184 111.229 
-10.625 -0.969 -3.186 -16.225 108.933 
-10.637 -0.262 -3.520 -17.164 106.387 
-10.635 0.538 -3.871 -17.851 103.603 
-10.615 1.402 -4.232 -18.193 100.609 
-10.578 2.290 -4.596 -18.150 97.435 
-10.524 3.165 -4.955 -17.684 94.113 
-10.452 3.995 -5.300 -16.734 90.680 
-10.364 4.755 -5.621 -15.271 87.181 
-10.262 5.433 -5.908 -13.365 83.668 
-10.148 6.034 -6.154 -11.198 80.185 
-10.022 6.568 -6.356 -8.970 76.770 
-9.885 7.046 -6.513 -6.820 73.449 
-9.740 7.474 -6.629 -4.810 70.239 
-9.587 7.854 -6.707 -2.941 67.154 
-9.426 8.185 -6.748 -1.186 64.207 
-9.260 8.466 -6.755 0.495 61.412 
-9.088 8.693 -6.728 2.142 58.783 
-8.912 8.863 -6.669 3.786 56.339 
-8.734 8.974 -6.577 5.447 54.098 
-8.554 9.024 -6.451 7.123 52.080 
-8.373 9.014 -6.292 8.785 50.304 
-8.194 8.950 -6.100 10.371 48.787 
-8.016 8.845 -5.878 11.800 47.538 
